Branch,Company Name,Job Title,Package (LPA),Tools Required,Skills Required
CE,Soilcraft Labs,Geotechnical Engineer,3.8,AutoCAD; GeoStudio; Lab Equipment,"Soil Mechanics; Foundation Design; Bearing Capacity; Site Investigation; Soil Testing"
CE,Bridgelink India,Bridge Design Engineer,4.2,STAAD Pro; AutoCAD; SAP2000,"Bridge Design; Structural Analysis; IRC Codes; Load Analysis; Engineering Drawing"
CE,Urbanplan Systems,Urban Planner,3.9,AutoCAD; GIS (ArcGIS); MS Office,"Urban Planning; Land Use; GIS; Zoning Regulations; Master Plan Preparation"
CE,Roadpave Solutions,Highway Engineer,3.7,AutoCAD; Civil 3D; PMS Software,"Highway Design; Pavement Design; IRC Standards; Traffic Engineering; Surveying"
CE,Aquaflow Engineers,Water Resources Engineer,4.1,EPANET; HEC-RAS; AutoCAD,"Hydraulics; Water Supply Design; Flood Analysis; Irrigation; Hydrology"
CE,Terrasolid Pvt Ltd,Foundation Engineer,3.5,PLAXIS; AutoCAD; GeoStudio,"Foundation Design; Soil Testing; Pile Design; Retaining Walls; IS Codes"
CE,Canaltech India,Irrigation Engineer,3.4,AutoCAD; HEC-HMS; CROPWAT,"Irrigation System Design; Canal Design; Water Management; Hydrology; Agronomy Basics"
CE,Drainex Systems,Sanitation Engineer,3.3,AutoCAD; SWMM; MS Excel,"Drainage Design; Sewage Treatment; Sanitary Engineering; IS/NBC Codes; Environmental Norms"
CE,Skyframe Builders,High-Rise Structural Engineer,4.5,ETABS; SAFE; AutoCAD,"High-Rise Structural Design; Wind/Seismic Analysis; RCC/Steel; IS Codes; BIM"
CE,Pavecraft Solutions,Pavement Engineer,3.6,AutoCAD; KENPAVE; MS Excel,"Pavement Design; Material Testing; IRC Standards; Quality Control; CBR Analysis"
CE,Greenzone Infra,Environmental Engineer,3.9,AutoCAD; GIS; EIA Tools,"EIA; Pollution Control; Environmental Norms; Waste Management; Green Building Concepts"
CE,Draftline Consultants,AutoCAD Designer,3.2,AutoCAD; Revit; MS Office,"2D/3D Drafting; Architectural Drawing; Detailing; Coordination Drawings; Standards"
CE,Tensiontech Pvt Ltd,Pre-stressed Concrete Engineer,4.0,STAAD Pro; AutoCAD; MS Excel,"Pre-stressed Concrete Design; Loss of Prestress; IS:1343; Structural Analysis; Detailing"
CE,Watershield India,Waterproofing Engineer,3.5,AutoCAD; MS Project; MS Excel,"Waterproofing Systems; Surface Treatment; Material Selection; Quality Inspection; Site Supervision"
CE,Vaultcon Builders,Construction Manager,4.3,Primavera; MS Project; AutoCAD,"Project Management; Planning & Scheduling; Resource Management; Budgeting; Contract Management"
CE,Geomap Solutions,Survey Engineer,3.7,Total Station; AutoCAD Civil 3D; GPS/GNSS,"Surveying; Levelling; Traversing; GIS; Topographic Mapping; Land Records"
CE,Stormline Systems,Drainage Engineer,3.8,SWMM; AutoCAD; HEC-RAS,"Storm Water Management; Drainage Network Design; Flood Modelling; IS Codes; Site Analysis"
CE,Pilecap Infra,Pile Foundation Engineer,4.1,PLAXIS; AutoCAD; STAAD Pro,"Pile Design; Deep Foundation; Geotechnical Analysis; Load Transfer; IS Codes"
EE,Voltedge Power,Electrical Design Engineer,4.0,AutoCAD Electrical; ETAP; MS Excel,"Electrical System Design; Single Line Diagrams; Load Calculation; IS/IEC Standards"
EE,Switchgear India,Switchgear Engineer,3.8,AutoCAD; ETAP; MS Office,"LV/MV Switchgear; Protection Coordination; Fault Analysis; IS Standards; Panel Wiring"
EE,Powernet Systems,Power Systems Engineer,4.3,ETAP; MATLAB; PowerWorld,"Power Flow Analysis; Fault Analysis; Protection Systems; Power Electronics; Grid Operations"
EE,Gridvolt Pvt Ltd,Grid Engineer,4.5,SCADA; ETAP; AutoCAD,"Grid Operation; Load Dispatch; Power Systems; SCADA; Energy Management"
EE,Illuminex Solutions,Lighting Design Engineer,3.6,DIALux; AutoCAD; Revit MEP,"Lighting Design; Lux Calculations; LED Technology; Energy Efficiency; Electrical Drafting"
EE,Cabletek India,Cable Engineer,3.5,AutoCAD; ETAP; MS Excel,"Cable Sizing; Route Planning; HV/LV Cables; Cable Testing; IS/IEC Standards"
EE,Motorworks Pvt Ltd,Motor Design Engineer,4.1,MATLAB; ANSYS Maxwell; AutoCAD,"Electric Motor Design; Electromagnetics; Windings; Thermal Analysis; Testing & Validation"
EE,Substationix,Substation Engineer,4.2,AutoCAD; ETAP; MATLAB,"Substation Design; Protection Relays; Bus-bar Design; Earthing; Equipment Sizing"
EE,Transformix India,Transformer Engineer,3.9,MATLAB; AutoCAD; ETAP,"Transformer Design; Core & Winding; Oil Testing; Protection; IS Standards"
EE,Relaytech Systems,Protection Engineer,4.0,ETAP; SEL Relay Software; AutoCAD,"Protection Coordination; Relay Setting; Fault Analysis; SCADA Integration; IS/IEC"
EE,Solarmax Pvt Ltd,Solar Energy Engineer,4.6,PVsyst; AutoCAD; MATLAB,"Solar PV Design; Energy Yield Analysis; Grid Integration; Inverters; Net Metering"
EE,Windgate Energy,Wind Energy Engineer,4.8,WAsP; MATLAB; AutoCAD,"Wind Resource Assessment; Turbine Selection; Grid Integration; Energy Yield; AEP Analysis"
EE,Loadflow Labs,Load Flow Analyst,3.7,ETAP; PowerWorld; MATLAB,"Load Flow Study; Voltage Analysis; Power Systems; Simulation; Report Writing"
EE,Autovolt Systems,Automation Engineer,4.4,Siemens TIA Portal; MATLAB; AutoCAD,"PLC Programming; SCADA; HMI Design; Industrial Automation; Sensor Integration"
EE,Controllogic India,PLC/SCADA Engineer,4.3,Rockwell Studio 5000; WinCC; SCADA,"PLC Programming (Ladder/FBD); SCADA Configuration; HMI; Process Automation; Fieldbus"
EE,Earthlink Pvt Ltd,Earthing Engineer,3.4,AutoCAD; ETAP; CDEGS,"Earthing System Design; Earth Resistance Measurement; IS 3043; Safety; Fault Analysis"
EE,Metering Solutions,Energy Meter Engineer,3.3,AutoCAD; DLMS/COSEM Tools; MS Excel,"Energy Metering; AMR/AMI; Meter Testing; Communication Protocols; IS Standards"
EE,Capacitorx India,Reactive Power Engineer,3.8,ETAP; MATLAB; AutoCAD,"Power Factor Correction; Capacitor Bank Design; Harmonic Analysis; Power Quality; IS Standards"
EE,Panelcraft Systems,Control Panel Engineer,3.6,AutoCAD Electrical; EPLAN; MS Excel,"Panel Design; Wiring Diagrams; Component Selection; BOM Preparation; Testing"
EE,Powerline Infra,Transmission Line Engineer,4.0,AutoCAD; PLS-CADD; ETAP,"Transmission Line Design; Tower Spotting; Sag-Tension; IS Standards; ROW Management"
