job_title,experience_years,education_level,skills_count,industry,company_size,location,remote_work,certifications,salary
Product Manager,13,PhD,4,Government,Enterprise,India,No,5,142164
Business Analyst,0,Master,11,Education,Enterprise,India,Hybrid,0,63071
Backend Developer,6,High School,5,Retail,Medium,India,No,3,69783
Cloud Engineer,16,Diploma,12,Technology,Large,India,Yes,4,124853
DevOps Engineer,16,Bachelor,13,Education,Enterprise,India,Yes,4,136692
AI Engineer,6,High School,6,Education,Large,India,Yes,1,106366
Software Engineer,2,PhD,18,Telecom,Enterprise,India,Hybrid,3,106665
Product Manager,20,PhD,19,Education,Large,India,No,4,152679
Software Engineer,20,High School,11,Consulting,Enterprise,India,Yes,5,127753
Backend Developer,15,Diploma,15,Education,Enterprise,India,No,4,119445
Product Manager,20,PhD,1,Media,Enterprise,India,Hybrid,1,148506
Business Analyst,6,Master,9,Finance,Enterprise,India,Hybrid,4,86408
Machine Learning Engineer,20,PhD,19,Education,Medium,India,No,1,137859
Backend Developer,19,PhD,14,Media,Large,India,Yes,1,125334
Frontend Developer,1,Master,2,Government,Enterprise,India,Hybrid,1,79783
Product Manager,5,Diploma,11,Finance,Small,India,Yes,5,92922
Business Analyst,7,High School,9,Government,Startup,India,Yes,1,60541
Software Engineer,17,Master,1,Technology,Medium,India,No,5,100187
Cybersecurity Analyst,9,Master,14,Consulting,Startup,India,Yes,5,103458
Cybersecurity Analyst,18,PhD,18,Technology,Small,India,No,0,117253
Data Analyst,12,High School,11,Healthcare,Startup,India,No,4,54280
DevOps Engineer,1,Diploma,19,Government,Large,India,No,1,79223
Cybersecurity Analyst,19,PhD,10,Healthcare,Small,India,Hybrid,4,128911
Cloud Engineer,16,High School,16,Government,Large,India,Hybrid,5,115035
Frontend Developer,16,High School,3,Government,Large,India,Yes,0,99104
Cybersecurity Analyst,10,Diploma,11,Media,Medium,India,Hybrid,4,87400
Machine Learning Engineer,10,Master,14,Education,Small,India,Hybrid,4,101046
Data Analyst,15,Diploma,16,Telecom,Enterprise,India,Yes,5,109963
Cloud Engineer,4,High School,7,Technology,Small,India,Hybrid,3,73601
AI Engineer,13,High School,1,Technology,Medium,India,Yes,4,103268
DevOps Engineer,17,Master,7,Retail,Startup,India,No,4,92562
Data Scientist,19,Bachelor,10,Government,Medium,India,Hybrid,0,98757
Cybersecurity Analyst,8,High School,14,Retail,Small,India,Yes,2,85139
Cloud Engineer,14,PhD,5,Technology,Enterprise,India,Hybrid,2,135462
Machine Learning Engineer,0,High School,2,Education,Startup,India,Yes,0,66351
Business Analyst,3,Diploma,7,Government,Small,India,Yes,4,62849
Product Manager,17,High School,6,Consulting,Enterprise,India,No,2,123996
Data Analyst,7,Master,5,Finance,Enterprise,India,Hybrid,1,85018
Frontend Developer,20,Bachelor,12,Media,Enterprise,India,No,2,125418
Business Analyst,14,High School,7,Telecom,Enterprise,India,No,5,92578
Product Manager,16,Bachelor,5,Finance,Small,India,Hybrid,0,93525
Data Analyst,3,Diploma,5,Education,Medium,India,Hybrid,0,51626
Machine Learning Engineer,20,Master,1,Media,Small,India,Hybrid,4,118478
Software Engineer,17,Master,13,Manufacturing,Enterprise,India,No,1,129637
AI Engineer,17,Bachelor,18,Manufacturing,Large,India,No,1,133037
DevOps Engineer,17,Diploma,13,Technology,Large,India,No,2,121818
Software Engineer,8,Bachelor,12,Media,Startup,India,Yes,0,70904
Product Manager,2,High School,16,Government,Startup,India,Yes,4,75110
Machine Learning Engineer,10,High School,5,Education,Medium,India,Yes,5,96296
AI Engineer,17,High School,14,Government,Startup,India,Hybrid,0,99276
Cybersecurity Analyst,20,High School,12,Consulting,Enterprise,India,Hybrid,4,136965
Data Scientist,8,Diploma,9,Education,Medium,India,Yes,1,85034
Backend Developer,12,High School,8,Government,Enterprise,India,Yes,4,108254
Product Manager,6,High School,3,Manufacturing,Small,India,Yes,2,74337
Machine Learning Engineer,3,High School,11,Finance,Enterprise,India,Hybrid,2,100155
Data Analyst,16,Master,17,Finance,Startup,India,Hybrid,0,84660
Software Engineer,6,PhD,4,Government,Medium,India,No,4,93341
Machine Learning Engineer,8,PhD,9,Media,Small,India,Hybrid,3,111386
Data Analyst,5,Master,13,Media,Large,India,Yes,1,87693
DevOps Engineer,5,High School,11,Manufacturing,Medium,India,Yes,0,69761
Software Engineer,9,PhD,5,Telecom,Medium,India,Hybrid,0,99424
Cybersecurity Analyst,14,High School,8,Retail,Startup,India,Yes,3,79081
Frontend Developer,0,Diploma,17,Education,Startup,India,Hybrid,4,69943
DevOps Engineer,1,Diploma,18,Retail,Small,India,Hybrid,2,76613
Data Analyst,18,Master,1,Technology,Small,India,Yes,2,89736
Cybersecurity Analyst,14,Diploma,17,Retail,Small,India,Yes,0,99214
Business Analyst,10,High School,16,Government,Small,India,Hybrid,5,75001
Machine Learning Engineer,8,PhD,7,Government,Small,India,Hybrid,0,91461
Backend Developer,0,High School,15,Retail,Large,India,Hybrid,5,65471
Frontend Developer,6,Master,2,Technology,Startup,India,Hybrid,1,63258
Backend Developer,12,High School,17,Manufacturing,Startup,India,No,2,85429
Cybersecurity Analyst,13,PhD,9,Technology,Medium,India,No,2,107005
Data Scientist,6,Master,16,Government,Small,India,No,5,99300
DevOps Engineer,0,High School,3,Technology,Startup,India,No,4,55689
Product Manager,3,PhD,19,Education,Startup,India,No,3,90117
DevOps Engineer,10,Master,17,Media,Large,India,Yes,0,115780
Software Engineer,16,Master,12,Finance,Medium,India,Yes,1,112403
Frontend Developer,10,PhD,9,Technology,Startup,India,No,3,89909
Data Analyst,4,Master,11,Government,Small,India,No,4,65968
Cybersecurity Analyst,19,Diploma,13,Consulting,Large,India,Yes,3,129528
Data Analyst,20,Bachelor,1,Media,Medium,India,Yes,2,94281
DevOps Engineer,12,Master,10,Consulting,Small,India,Hybrid,2,93208
Product Manager,1,Master,7,Government,Large,India,Yes,4,102246
Machine Learning Engineer,20,High School,13,Technology,Large,India,Hybrid,5,133386
Software Engineer,9,PhD,19,Manufacturing,Large,India,No,5,123103
Data Scientist,4,Bachelor,15,Healthcare,Small,India,Yes,1,87422
Frontend Developer,18,Master,13,Healthcare,Large,India,Hybrid,2,113401
Machine Learning Engineer,14,High School,18,Technology,Startup,India,Yes,5,98059
Data Scientist,16,High School,6,Finance,Medium,India,Hybrid,4,95481
Business Analyst,14,Master,10,Manufacturing,Small,India,No,2,93265
AI Engineer,14,PhD,12,Media,Large,India,No,3,150340
Data Analyst,10,Master,3,Consulting,Enterprise,India,Yes,1,97534
Cybersecurity Analyst,3,PhD,7,Retail,Small,India,Hybrid,1,84779
Product Manager,4,Diploma,19,Government,Medium,India,Hybrid,2,82856
Data Scientist,16,PhD,5,Finance,Large,India,No,2,134708
Product Manager,5,PhD,14,Government,Small,India,Hybrid,5,99040
DevOps Engineer,3,Master,19,Media,Startup,India,Yes,4,90518
Frontend Developer,20,High School,14,Technology,Startup,India,Yes,2,85534
Frontend Developer,10,Bachelor,2,Retail,Startup,India,Yes,5,74090
Cybersecurity Analyst,9,Bachelor,10,Telecom,Enterprise,India,No,3,115887
Frontend Developer,13,Bachelor,15,Consulting,Enterprise,India,No,0,104512
AI Engineer,15,Bachelor,14,Healthcare,Startup,India,No,5,111834
Data Scientist,13,Diploma,4,Consulting,Small,India,Hybrid,5,78734
DevOps Engineer,8,PhD,9,Technology,Startup,India,No,1,90138
Product Manager,11,Bachelor,8,Retail,Small,India,Hybrid,3,99265
Business Analyst,20,High School,1,Retail,Startup,India,No,1,74883
Cybersecurity Analyst,8,Diploma,9,Retail,Small,India,No,1,76693
